county,month,cases
Baringo,5/1/2005,0
Baringo,6/1/2005,0
Baringo,7/1/2005,0
Baringo,8/1/2005,0
Baringo,9/1/2005,0
Baringo,10/1/2005,0
Baringo,11/1/2005,0
Baringo,12/1/2005,0
Baringo,1/1/2006,0
Baringo,2/1/2006,0
Baringo,3/1/2006,0
Baringo,4/1/2006,0
Baringo,5/1/2006,0
Baringo,6/1/2006,0
Baringo,7/1/2006,0
Baringo,8/1/2006,0
Baringo,9/1/2006,0
Baringo,10/1/2006,0
Baringo,11/1/2006,0
Baringo,12/1/2006,0
Baringo,1/1/2007,0
Baringo,2/1/2007,0
Baringo,3/1/2007,0
Baringo,4/1/2007,0
Baringo,5/1/2007,0
Baringo,6/1/2007,0
Baringo,7/1/2007,0
Baringo,8/1/2007,0
Baringo,9/1/2007,0
Baringo,10/1/2007,0
Baringo,11/1/2007,0
Baringo,12/1/2007,0
Baringo,1/1/2008,0
Baringo,2/1/2008,0
Baringo,3/1/2008,0
Baringo,4/1/2008,0
Baringo,5/1/2008,0
Baringo,6/1/2008,0
Baringo,7/1/2008,0
Baringo,8/1/2008,0
Baringo,9/1/2008,0
Baringo,10/1/2008,0
Baringo,11/1/2008,0
Baringo,12/1/2008,0
Baringo,1/1/2009,0
Baringo,2/1/2009,0
Baringo,3/1/2009,0
Baringo,4/1/2009,0
Baringo,5/1/2009,0
Baringo,6/1/2009,0
Baringo,7/1/2009,0
Baringo,8/1/2009,0
Baringo,9/1/2009,0
Baringo,10/1/2009,0
Baringo,11/1/2009,0
Baringo,12/1/2009,0
Baringo,1/1/2010,0
Baringo,2/1/2010,0
Baringo,3/1/2010,0
Baringo,4/1/2010,0
Baringo,5/1/2010,0
Baringo,6/1/2010,0
Baringo,7/1/2010,0
Baringo,8/1/2010,0
Baringo,9/1/2010,0
Baringo,10/1/2010,0
Baringo,11/1/2010,0
Baringo,12/1/2010,0
Baringo,1/1/2011,0
Baringo,2/1/2011,0
Baringo,3/1/2011,0
Baringo,4/1/2011,0
Baringo,5/1/2011,0
Baringo,6/1/2011,0
Baringo,7/1/2011,0
Baringo,8/1/2011,0
Baringo,9/1/2011,0
Baringo,10/1/2011,0
Baringo,11/1/2011,0
Baringo,12/1/2011,0
Baringo,1/1/2012,0
Baringo,2/1/2012,0
Baringo,3/1/2012,0
Baringo,4/1/2012,0
Baringo,5/1/2012,0
Baringo,6/1/2012,0
Baringo,7/1/2012,0
Baringo,8/1/2012,0
Baringo,9/1/2012,0
Baringo,10/1/2012,0
Baringo,11/1/2012,0
Baringo,12/1/2012,0
Baringo,1/1/2013,0
Baringo,2/1/2013,0
Baringo,3/1/2013,0
Baringo,4/1/2013,0
Baringo,5/1/2013,0
Baringo,6/1/2013,0
Baringo,7/1/2013,0
Baringo,8/1/2013,0
Baringo,9/1/2013,0
Baringo,10/1/2013,0
Baringo,11/1/2013,0
Baringo,12/1/2013,0
Baringo,1/1/2014,0
Baringo,2/1/2014,0
Baringo,3/1/2014,0
Baringo,4/1/2014,0
Baringo,5/1/2014,0
Baringo,6/1/2014,0
Baringo,7/1/2014,0
Baringo,8/1/2014,0
Baringo,9/1/2014,0
Baringo,10/1/2014,0
Baringo,11/1/2014,0
Baringo,12/1/2014,0
Baringo,1/1/2015,0
Baringo,2/1/2015,0
Baringo,3/1/2015,0
Baringo,4/1/2015,0
Baringo,5/1/2015,0
Baringo,6/1/2015,0
Baringo,7/1/2015,0
Baringo,8/1/2015,0
Baringo,9/1/2015,0
Baringo,10/1/2015,0
Baringo,11/1/2015,0
Baringo,12/1/2015,0
Baringo,1/1/2016,0
Baringo,2/1/2016,0
Baringo,3/1/2016,0
Baringo,4/1/2016,0
Baringo,5/1/2016,0
Baringo,6/1/2016,0
Baringo,7/1/2016,0
Baringo,8/1/2016,0
Baringo,9/1/2016,0
Baringo,10/1/2016,0
Baringo,11/1/2016,0
Baringo,12/1/2016,0
Baringo,1/1/2017,0
Baringo,2/1/2017,0
Baringo,3/1/2017,0
Baringo,4/1/2017,0
Baringo,5/1/2017,0
Baringo,6/1/2017,0
Baringo,7/1/2017,0
Baringo,8/1/2017,0
Baringo,9/1/2017,0
Baringo,10/1/2017,0
Baringo,11/1/2017,0
Baringo,12/1/2017,0
Baringo,1/1/2018,0
Baringo,2/1/2018,0
Baringo,3/1/2018,0
Baringo,4/1/2018,0
Baringo,5/1/2018,0
Baringo,6/1/2018,0
Baringo,7/1/2018,0
Baringo,8/1/2018,0
Baringo,9/1/2018,0
Baringo,10/1/2018,0
Baringo,11/1/2018,0
Baringo,12/1/2018,0
Baringo,1/1/2019,1
Baringo,2/1/2019,0
Baringo,3/1/2019,0
Baringo,4/1/2019,0
Baringo,5/1/2019,0
Baringo,6/1/2019,0
Baringo,7/1/2019,0
Baringo,8/1/2019,0
Baringo,9/1/2019,0
Baringo,10/1/2019,0
Baringo,11/1/2019,0
Baringo,12/1/2019,0
Baringo,1/1/2020,0
Baringo,2/1/2020,0
Baringo,3/1/2020,0
Baringo,4/1/2020,0
Baringo,5/1/2020,0
